"year","region","selected_country_of_embarkation","TOTAL_PAX"
1961,"Europe","United Kingdom",8662
1961,"North East Asia","Hong Kong",14816
1961,"North East Asia","Japan",1843
1961,"South East Asia","Indonesia",22504
1961,"South East Asia","Philippines",3384
1961,"South East Asia","Thailand",16100
1962,"Europe","United Kingdom",7393
1962,"North East Asia","Hong Kong",16758
1962,"North East Asia","Japan",2406
1962,"South East Asia","Indonesia",23511
1962,"South East Asia","Philippines",4281
1962,"South East Asia","Thailand",19135
1963,"Europe","United Kingdom",9478
1963,"North East Asia","Hong Kong",19733
1963,"North East Asia","Japan",1808
1963,"South East Asia","Indonesia",17293
1963,"South East Asia","Philippines",3984
1963,"South East Asia","Thailand",23033
1964,"Europe","United Kingdom",11009
1964,"North East Asia","Hong Kong",20273
1964,"North East Asia","Japan",2087
1964,"South East Asia","Indonesia",3053
1964,"South East Asia","Philippines",5054
1964,"South East Asia","Thailand",24585
1965,"Europe","United Kingdom",12421
1965,"North East Asia","Hong Kong",26259
1965,"North East Asia","Japan",2914
1965,"South East Asia","Indonesia",3677
1965,"South East Asia","Philippines",5783
1965,"South East Asia","Thailand",24311
1966,"Europe","United Kingdom",10315
1966,"North East Asia","Hong Kong",27827
1966,"North East Asia","Japan",2671
1966,"South East Asia","Indonesia",6568
1966,"South East Asia","Malaysia",118125
1966,"South East Asia","Philippines",6545
1966,"South East Asia","Thailand",28198
1967,"Europe","United Kingdom",11213
1967,"North East Asia","Hong Kong",31308
1967,"North East Asia","Japan",3759
1967,"South East Asia","Indonesia",26638
1967,"South East Asia","Malaysia",136604
1967,"South East Asia","Philippines",8267
1967,"South East Asia","Thailand",36450
1968,"Europe","United Kingdom",11737
1968,"North East Asia","Hong Kong",34960
1968,"North East Asia","Japan",5901
1968,"South East Asia","Indonesia",39923
1968,"South East Asia","Malaysia",148447
1968,"South East Asia","Philippines",9746
1968,"South East Asia","Thailand",41589
1969,"Europe","United Kingdom",16440
1969,"North East Asia","Hong Kong",42750
1969,"North East Asia","Japan",9389
1969,"South East Asia","Indonesia",71785
1969,"South East Asia","Malaysia",168045
1969,"South East Asia","Philippines",12980
1969,"South East Asia","Thailand",53337
1970,"Europe","United Kingdom",22175
1970,"North East Asia","Hong Kong",59982
1970,"North East Asia","Japan",12511
1970,"South East Asia","Indonesia",123030
1970,"South East Asia","Malaysia",211773
1970,"South East Asia","Philippines",20136
1970,"South East Asia","Thailand",69640
1971,"Europe","United Kingdom",34174
1971,"North East Asia","Hong Kong",66604
1971,"North East Asia","Japan",15664
1971,"South East Asia","Indonesia",167150
1971,"South East Asia","Malaysia",255418
1971,"South East Asia","Philippines",24642
1971,"South East Asia","Thailand",74220
1972,"Europe","United Kingdom",75779
1972,"North East Asia","Hong Kong",81513
1972,"North East Asia","Japan",27597
1972,"South East Asia","Indonesia",198379
1972,"South East Asia","Malaysia",300763
1972,"South East Asia","Philippines",23295
1972,"South East Asia","Thailand",98926
1973,"Europe","United Kingdom",82729
1973,"North East Asia","Hong Kong",102722
1973,"North East Asia","Japan",43540
1973,"South East Asia","Indonesia",267005
1973,"South East Asia","Malaysia",401668
1973,"South East Asia","Philippines",26996
1973,"South East Asia","Thailand",135408
1974,"Europe","United Kingdom",80817
1974,"North East Asia","Hong Kong",102517
1974,"North East Asia","Japan",43459
1974,"South East Asia","Indonesia",318614
1974,"South East Asia","Malaysia",414133
1974,"South East Asia","Philippines",36313
1974,"South East Asia","Thailand",151007
1975,"Europe","United Kingdom",79027
1975,"North East Asia","Hong Kong",126869
1975,"North East Asia","Japan",49053
1975,"South East Asia","Indonesia",367838
1975,"South East Asia","Malaysia",432888
1975,"South East Asia","Philippines",41146
1975,"South East Asia","Thailand",162092
1976,"Europe","United Kingdom",85191
1976,"North East Asia","Hong Kong",157810
1976,"North East Asia","Japan",59577
1976,"South East Asia","Indonesia",407326
1976,"South East Asia","Malaysia",470054
1976,"South East Asia","Philippines",49307
1976,"South East Asia","Thailand",188440
1977,"Europe","United Kingdom",97090
1977,"North East Asia","Hong Kong",181211
1977,"North East Asia","Japan",77429
1977,"South East Asia","Indonesia",466800
1977,"South East Asia","Malaysia",510761
1977,"South East Asia","Philippines",65852
1977,"South East Asia","Thailand",205562
1978,"Europe","United Kingdom",107022
1978,"North East Asia","Hong Kong",211573
1978,"North East Asia","Japan",85554
1978,"South East Asia","Indonesia",519931
1978,"South East Asia","Malaysia",566589
1978,"South East Asia","Philippines",92627
1978,"South East Asia","Thailand",237680
1979,"Europe","United Kingdom",107696
1979,"North East Asia","Hong Kong",222647
1979,"North East Asia","Japan",141614
1979,"South East Asia","Indonesia",513259
1979,"South East Asia","Malaysia",677706
1979,"South East Asia","Philippines",112602
1979,"South East Asia","Thailand",253070
1980,"Europe","United Kingdom",113202
1980,"North East Asia","Hong Kong",281191
1980,"North East Asia","Japan",167344
1980,"South East Asia","Indonesia",560955
1980,"South East Asia","Malaysia",803058
1980,"South East Asia","Philippines",126919
1980,"South East Asia","Thailand",286277
1981,"Europe","United Kingdom",116939
1981,"North East Asia","Hong Kong",330374
1981,"North East Asia","Japan",210129
1981,"South East Asia","Indonesia",624875
1981,"South East Asia","Malaysia",888413
1981,"South East Asia","Philippines",148141
1981,"South East Asia","Thailand",334361
1982,"Europe","United Kingdom",130082
1982,"North East Asia","Hong Kong",342300
1982,"North East Asia","Japan",241951
1982,"South East Asia","Indonesia",637434
1982,"South East Asia","Malaysia",900761
1982,"South East Asia","Philippines",160706
1982,"South East Asia","Thailand",349333
1983,"Europe","United Kingdom",130719
1983,"North East Asia","Hong Kong",360774
1983,"North East Asia","Japan",249100
1983,"South East Asia","Indonesia",536939
1983,"South East Asia","Malaysia",918443
1983,"South East Asia","Philippines",142362
1983,"South East Asia","Thailand",383382
1984,"Europe","United Kingdom",146884
1984,"North East Asia","Hong Kong",402072
1984,"North East Asia","Japan",260915
1984,"South East Asia","Indonesia",561842
1984,"South East Asia","Malaysia",993161
1984,"South East Asia","Philippines",145214
1984,"South East Asia","Thailand",420337
1985,"Europe","United Kingdom",177613
1985,"North East Asia","Hong Kong",417847
1985,"North East Asia","Japan",292770
1985,"South East Asia","Indonesia",546761
